,itemType,showType,id,imdbId,tmdbId,title,overview,releaseYear,originalTitle,directors,cast,rating,runtime,firstGenre,secondGenre,thirdGenre
724,show,movie,123857,tt6368508,movie/526934,29 to Life,"Life turns around for a luckless loser, whose girlfriend just dumped him, when he reunites with his irrepressible old friend Madison.",2018,29 to Life,['Alex Magaña'],"['Hayley Ambriz', 'Murphy Patrick Martin', 'Diana Solis', 'Kaden Cole']",53,99.0,comedy,drama,
725,show,movie,109793,tt6095004,movie/455392,29+1,"Two women on the verge of turning 30 take bold steps to fulfill their desire for fulfilling romantic relationships. Although their stories are different, their paths become more relatable when one of them sublets the other’s apartment and discovers her journals.",2017,29+1,['Kearen Pang'],"['Chrissie Chau Sau-Na', 'Joyce Cheng Yan-Yi', 'BabyJohn Choi Hon-Yik', 'Ben Yeung', 'Elaine Jin Yan-Ling', 'Winki Lai', 'Kathy Tong Yee']",64,110.0,drama,fantasy,
726,show,movie,311237,tt2165535,movie/318430,"29000 Wishes, 1 Regret","In the wake of losing everything, a couple makes a suicide pact and spends their last days maxing out credit cards and living life on the edge.",2012,"29000 Wishes, 1 Regret",[],[],50,88.0,drama,,
727,show,movie,199050,tt2390217,movie/134628,2: Voodoo Academy,Un grupo de viajeros decide pasar la noche en una mansión con historia de vudú y pronto su estancia se convierte en una noche de caos y horror.,2012,2: Voodoo Academy,['David DeCoteau'],"['Michelle Bauer', 'Richie Nuzzolese', 'Shawn McCormick', 'Brandon Schinaman', 'Alex Fox', 'Alex Bugaj', 'Josh Randall']",39,75.0,horror,,
728,show,movie,12745,tt1131724,movie/269795,2:22,A paralyzing flash of light and sound that comes every day at the same time begins to destroy the life of a New York City air traffic controller.,2017,2:22,['Paul Currie'],"['Michiel Huisman', 'Teresa Palmer', 'Sam Reid', 'John Waters', 'Kerry Armstrong', 'Richard Davies', 'Maeve Dermody']",57,98.0,mystery,romance,
729,show,movie,72803,tt1261041,movie/25038,2:22,A simple plan for a difficult job goes horribly wrong as a tight crew of four thieves decide to take down a boutique hotel in the dead of winter.,2008,2:22,['Phillip Guzman'],"['Mick Rossi', 'Robert Miano', 'Aaron Gallagher', 'Jorge A. Jimenez', 'Peter Dobson', 'Val Kilmer', 'Bruce Kirby']",51,104.0,crime,thriller,
730,show,movie,90433,tt4136828,movie/604243,2:Hrs,Perpetual time-waster Tim kicks into action mode when an eccentric scientist’s newest invention predicts he has just two hours left to live.,2018,2:Hrs,['D. James Newton'],"['Harry Jarvis', 'Ella-Rae Smith', 'Alhaji Fofana', 'Keith Allen', 'Siobhan Redmond', 'Seann Walsh', 'Marek Larwood']",44,82.0,family,,
731,show,movie,15820105,tt33825123,movie/1389984,2B Honest,"On the run from the law, Kato Roberts stumbles into a secret community that throws him into a world of chaos, murder, love, and insurance policies.",2024,2B Honest,['Devon Bray'],"['Donyae Brown', 'Kandace Burnett', 'Aianza Cruz', 'Ari Williams']",45,126.0,thriller,,
732,show,movie,141533,tt0364914,movie/256422,2BPerfectlyHonest,"Colleagues Frank and Josh have very different views of the world, and when their internet business goes under, they have very different ways of dealing with the defeat.",2004,2BPerfectlyHonest,['Randel Cole'],"['Adam Trese', 'Andrew McCarthy', 'John Turturro', 'Michael Badalucco', 'Aida Turturro', 'Robert Vaughn', 'Hayley Mills']",47,87.0,comedy,drama,
733,show,movie,127984,tt1612537,movie/48465,Grapes 2,"After being released from prison, a man dedicates himself to making his grandfather's vineyard a success.",2009,2Bobule,['Vlad Lanné'],"['Kryštof Hádek', 'Lukáš Langmajer', 'Tereza Ramba', 'Lubomír Lipský', 'Jiří Korn', 'Jiří Krampol', 'Jana Pidrmanová']",51,91.0,comedy,romance,
