,itemType,showType,id,imdbId,tmdbId,title,overview,releaseYear,originalTitle,directors,cast,rating,runtime,firstAirYear,lastAirYear,creators,seasonCount,episodeCount,firstGenre,secondGenre,thirdGenre
267,show,series,18116,tt11617414,tv/98410,1000-lb Sisters,"Tipping the scales at over 1,000 pounds combined, the Slaton sisters try to lose enough weight to qualify for and undergo life-changing bariatric surgery and pursue their dreams.",,1000-lb Sisters,,"['Amy Slaton', 'Tammy Slaton', 'Chris Combs', 'Amanda Halterman', 'Misty Slaton', 'Michael Halterman', 'Brittany Combs']",63,,2020.0,2025.0,[],7.0,67.0,reality,,
269,show,series,17415,tt12706854,tv/99995,I'm Standing on a Million Lives,"Aloof and logical middle school third-year Yusuke Yotsuya is transported to a game-like alternate world. He becomes a third player and takes on a dangerous quest with his classmates Iu Shindo and Kusue Hakozaki, who were transported there earlier. The cold Yusuke eschews emotionalism and examines all elements with detachment, sometimes even toying with the lives of his companions. Can he pro...",,100万の命の上に俺は立っている,,"['Yuto Uemura', 'Risa Kubota', 'Azumi Waki', 'Makoto Koichi', 'Kenji Sugimura', 'Nobuaki Kanemitsu', 'Chiwa Saito']",64,,2020.0,2021.0,[],2.0,24.0,action,adventure,animation
270,show,series,2437330,tt26690422,tv/216227,Why Didn't I Tell You a Million Times?,"Reunited as adults, two childhood friends fall madly in love and won't let anything — not even death — tear them apart, in this supernatural love story.",,100万回 言えばよかった,,"['Mao Inoue', 'Takeru Satoh', 'Kenichi Matsuyama', 'Shim Eun-kyung', 'Kami Hiraiwa', 'Yusuke Shoji', 'Shota Shunputei']",64,,2023.0,2023.0,[],1.0,10.0,drama,fantasy,romance
272,show,series,26472,tt7019028,tv/75523,101 Dalmatian Street,"The adventures of Dolly, Dylan, and their 97 brothers and sisters living with their mother and father in London.",,101 Dalmatian Street,,"['Margot Powell', 'Michaela Dietz', 'Josh Brener', 'Abigail Zoe Lewis', 'Aimee-Ffion Edwards', 'Rhys Isaac-Jones', 'Lauren Lindsey Donzis']",63,,2019.0,2019.0,['Miklos Weigert'],1.0,52.0,animation,family,
275,show,series,12782,tt0144700,tv/2198,101 Dalmatians: The Series,"After foiling Cruella DeVil's plot to make a fur coat with the puppies' skins, the Dearly Family (Roger and Anita Dearly, Nanny, Pongo, Perdita, their 15 birth puppies and 84 adopted puppies) move to a new farm home in the country. Join Pongo and Perdy's pups, brave Lucky, tubby Rolly and Cadpig the runt, together with their chicken friend Spot, as they defend their new home from Cruella DeVil (Anita's boss and now new neighbor), continually get in and out of trouble, sneak into Grutely, and have all sorts of crazy adventures around the farm. Also along for the fun is Tripod, Patch, Two-Tone, Wizzer, Dipstick, Mooch, and the rest of their barnyard friends.",,101 Dalmatians: The Series,,"['Charlotte Rae', 'Cree Summer', 'Debi Mae West', 'Jim Cummings', 'Kath Soucie', 'Tara Strong', 'Jeff Bennett']",62,,1997.0,1998.0,['Jim Jinkins'],2.0,105.0,adventure,animation,
278,show,series,30855,tt18250578,tv/205036,101 Places to Party Before You Die,"Inspired by the best-selling book, “101 Places to Get F*cked Up Before You Die,” truTV’s new buddy-travel series follows comedians and longtime pals, Adam Pally and Jon Gabrus on an epic summer bromance. Accidental travel hosts, Pally and Gabrus, are given family-sanctioned three-day weekend escapes to venture across the U.S. to different destinations to experience everything they have to offer.",,101 Places to Party Before You Die,,"['Adam Pally', 'Jon Gabrus']",64,,2022.0,2022.0,[],1.0,8.0,comedy,documentary,reality
280,show,series,45798,tt0209520,tv/48455,The 101st Proposal,"After 99 failed dates, an earnest bachelor meets a guarded classical musician. He's all in — she's not so sure. Can his persistence lead to love?",,101回目のプロポーズ,,"['Atsuko Asano', 'Tetsuya Takeda', 'Yosuke Eguchi', 'Ritsuko Tanaka', 'Yuriko Ishida', 'Hatsunori Hasegawa', 'Miyoko Asada']",57,,1991.0,1991.0,[],1.0,12.0,drama,romance,
291,show,series,32018,tt22042292,tv/210091,11 Minutes,"Watch emotional, firsthand accounts of survival from the mass shooting at the 2017 Route 91 Harvest Festival in Las Vegas exclusively on Paramount+.",,11 Minutes,,"['Jason Aldean', 'Storme Warren', 'Natalie Grumet', 'Gianna Baca', 'Parker Marx', 'Natalia Baca', 'Dean McAuley']",68,,2022.0,2022.0,['Jeff Zimbalist'],1.0,4.0,documentary,,
293,show,series,595,tt2879552,tv/64464,11.22.63,A Maine high school teacher at a loss with life and wants to make a difference enters a portal to October 1960 and attempts to prevent JFK’s murder.,,11.22.63,,"['James Franco', 'Sarah Gadon', 'Chris Cooper', 'Daniel Webber', 'Lucy Fry', 'George MacKay', ""Kevin J. O'Connor""]",80,,2016.0,2016.0,[],1.0,8.0,drama,mystery,romance
296,show,series,8891361,tt31039807,tv/251824,1122: For a Happy Marriage,"Ichiko and Otoya are happily married, despite not having sex for the last two years. The secret to their happiness is Otoya's affair with Mitsuki, which Ichiko approves. Everything is going well until Otoya rejects Ichiko's advances on the night of their seventh anniversary. In shock, Ichiko seeks advice from her friend who suggests she exercise her right to have a boyfriend of her own.",,1122 いいふうふ,,"['Masaki Okada', 'Mitsuki Takahata', 'Nanase Nishino', 'Kengo Kora', 'Sojiro Chiba', 'Hokuto Yoshino', 'Kurumi Nakata']",61,,2024.0,2024.0,[],1.0,7.0,drama,romance,
